cancer,gene,evidence_class,prior_study,prior_scope,prior_result,source_url,audit_note,n,positive,current_balanced_accuracy,current_q,current_tier
UCEC,PTEN,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.753 [0.740-0.775]; corrected p=1.421e-18,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,487,261,0.735801715661343,0.0096,A
BRCA,TP53,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.785 [0.756-0.814]; corrected p=4.575e-46,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,981,259,0.722149434753313,0.005,A
THCA,NRAS,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.809 [0.686-0.876]; corrected p=1.231e-09,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,490,39,0.719199499687305,0.001,A
BRCA,CDH1,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.839 [0.818-0.879]; corrected p=4.843e-46,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,981,96,0.711334745762712,0.005,A
LUAD,TP53,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.679 [0.642-0.699]; corrected p=1.490e-09,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,463,234,0.690898742208786,0.015,B
BLCA,FGFR3,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.761 [0.696-0.801]; corrected p=2.301e-10,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,384,54,0.686026936026936,0.015,B
STAD,TP53,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.666 [0.602-0.707]; corrected p=0.0001717,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,371,179,0.683019087523277,0.006,B
COAD,KRAS,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.624 [0.583-0.663]; corrected p=0.002947,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,382,126,0.676277281746032,0.00433333333333333,B
OV,TP53,previously supported in reviewed predictive literature,Fernandes2025,exact cancer,AUROC 0.82 +/- 0.02,https://arxiv.org/abs/2511.03365,Preprint; no independent external validation reported,72,22,0.667272727272727,0.013,B
HNSC,TP53,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.738 [0.668-0.823]; corrected p=1.657e-13,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,431,320,0.658769707207207,0.009,B
LGG,EGFR,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.790 [0.723-0.829]; corrected p=1.747e-17,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,485,34,0.653188991782966,0.00185714285714286,B
HNSC,NSD1,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.653 [0.586-0.688]; corrected p=0.0001968,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,431,51,0.649432404540764,0.009,B
LIHC,CTNNB1,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.648 [0.638-0.663]; corrected p=0.0001418,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,350,93,0.643173925777164,0.0035,B
BRCA,PIK3CA,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.622 [0.612-0.629]; corrected p=1.264e-07,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,981,266,0.639152952310847,0.005,B
UCEC,ARID1A,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.656 [0.632-0.674]; corrected p=2.281e-06,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,487,176,0.638318474130371,0.0096,B
LGG,FUBP1,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.714 [0.695-0.749]; corrected p=2.788e-05,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,485,44,0.636466707895279,0.00185714285714286,B
SKCM,BRAF,previously evaluated without statistical support in reviewed study,Arslan2024,exact cancer,mean three-fold AUROC 0.579 [0.506-0.617]; corrected p=0.2864,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,98,52,0.635869565217391,0.015,B
UVM,GNA11,previously evaluated without statistical support in reviewed study,Arslan2024,exact cancer,mean three-fold AUROC 0.654 [0.487-0.738]; corrected p=0.2771,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,80,36,0.63510101010101,0.048,B
LGG,PTEN,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.688 [0.662-0.703]; corrected p=0.006080,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,485,23,0.632693393562959,0.00185714285714286,B
CESC,TP53,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.703 [0.551-0.893]; corrected p=8.629e-05,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,252,21,0.632034632034632,0.018,B
KIRC,SETD2,previously supported in reviewed predictive literature,Kather2020,exact cancer,AUROC 0.646 [0.584-0.706]; FDR q=0.0137,https://doi.org/10.1038/s43018-020-0087-6,Exact source-data row; three-fold cross-validation,353,47,0.630197469058546,0.005,B
BLCA,TP53,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.675 [0.640-0.722]; corrected p=2.176e-07,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,384,185,0.629526008420481,0.015,B
LIHC,TP53,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.608 [0.582-0.626]; corrected p=0.007657,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,350,107,0.623129879620015,0.0035,B
STAD,PIK3CA,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.712 [0.667-0.779]; corrected p=0.0008205,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,371,58,0.617467224854027,0.006,B
PAAD,TP53,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.672 [0.624-0.707]; corrected p=0.001334,https://doi.org/10.1038/s43856-024-00471-5,Saldanha2023 reported internal AUROC 0.554 and external CPTAC AUROC 0.443 +/- 0.064,175,106,0.613617719442166,0.032,B
UCEC,CTNNB1,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.656 [0.617-0.685]; corrected p=0.0001641,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,487,97,0.609925984668253,0.0096,B
LIHC,BAP1,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.825 [0.774-0.862]; corrected p=6.555e-05,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,350,20,0.609848484848485,0.007,B
UCEC,ATM,previously evaluated without statistical support in reviewed study,Arslan2024,exact cancer,mean three-fold AUROC 0.556 [0.479-0.606]; corrected p=0.496,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,487,74,0.604868791309469,0.0096,B
STAD,ARID1A,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.692 [0.679-0.702]; corrected p=1.148e-06,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,371,91,0.60260989010989,0.006,B
BRCA,FOXA1,previously evaluated without statistical support in reviewed study,Arslan2024,exact cancer,mean three-fold AUROC 0.621 [0.576-0.709]; corrected p=0.2545,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,981,28,0.602420926397841,0.005,B
KIRC,VHL,previously supported in reviewed predictive literature,Arslan2024,exact cancer,mean three-fold AUROC 0.631 [0.603-0.670]; corrected p=0.001578,https://doi.org/10.1038/s43856-024-00471-5,Primary-study supplementary data,353,161,0.600219979296066,0.005,B
