outcome_type,family,subfamily,tumor_type,endpoint,source,n,positive,negative,supported_by_n,primary_consensus_class,grouped_evaluable_representations,primary_crossings_evaluable,primary_crossings_retained,grouped_crossings_n,complete_primary_retention,any_primary_retention,median_grouped_minus_matched_effect,sample_size_maturity,tss_retention_class,internal_robustness_class,grouped_job_id,n_codes,requested_outer_folds,realized_outer_folds,outer_test_n_min,outer_test_n_max,outer_training_n_min,outer_test_codes_min,outer_training_codes_min,outer_test_positive_min,outer_test_negative_min,outer_training_positive_min,outer_training_negative_min,single_class_outer_test_folds,any_single_class_outer_test_fold,inner_folds_realized_min,inner_folds_realized_max,inner_validation_n_min,inner_training_n_min,inner_validation_codes_min,inner_training_codes_min,inner_validation_positive_min,inner_validation_negative_min,inner_training_positive_min,inner_training_negative_min,single_class_inner_validation_folds,any_single_class_inner_validation_fold,grouped_fold_adequacy_flag,any_single_class_inner_training_fold,grouped_fold_adequacy_reasons,adequacy_flag_definition,metric_construction,deprecated_r1_r4_uses_flagged_grouped_result
binary,aneuploidy,aneuploidy,OV,Genome doubling,Taylor2018_TableS2,94,65,29,3,all three,3,3,2,2,FALSE,TRUE,0.0392572944297083,FALSE,partial retention,R4: limited or cohort-structure-sensitive internal evidence,11,9,5,5,1,54,40,1,6,1,0,27,13,2,TRUE,4,5,1,6,1,4,1,0,5,1,8,TRUE,sparse grouped folds,FALSE,outer_test_n_below_10;single_class_outer_test_fold;outer_training_minority_below_20;single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,aneuploidy,aneuploidy,PAAD,Genome doubling,Taylor2018_TableS2,163,40,123,3,all three,3,3,2,2,FALSE,TRUE,0.00162601626016268,FALSE,partial retention,R4: limited or cohort-structure-sensitive internal evidence,12,24,5,5,21,52,111,4,19,3,14,25,86,0,FALSE,5,5,4,58,3,15,0,3,10,48,1,TRUE,sparse grouped folds,FALSE,single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,aneuploidy,aneuploidy,PCPG,Genome doubling,Taylor2018_TableS2,157,24,133,1,representation specific,3,1,0,1,FALSE,FALSE,-0.0861528822055138,FALSE,no retention,R4: limited or cohort-structure-sensitive internal evidence,13,17,5,5,8,52,105,3,13,1,7,14,91,0,FALSE,5,5,3,42,2,9,0,3,5,37,2,TRUE,sparse grouped folds,FALSE,outer_test_n_below_10;outer_training_minority_below_20;single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,aneuploidy,aneuploidy,PRAD,Genome doubling,Taylor2018_TableS2,352,28,324,2,exactly two,3,2,1,2,FALSE,TRUE,-0.0403439153439154,FALSE,partial retention,R4: limited or cohort-structure-sensitive internal evidence,14,26,5,5,40,140,212,4,20,2,34,20,190,0,FALSE,5,5,3,131,3,15,0,3,11,118,4,TRUE,sparse grouped folds,FALSE,single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,aneuploidy,aneuploidy,READ,Genome doubling,Taylor2018_TableS2,142,72,70,2,exactly two,3,2,0,0,FALSE,FALSE,-0.113095238095238,TRUE,no retention,R4: limited or cohort-structure-sensitive internal evidence,15,12,5,5,7,71,71,2,9,4,3,36,35,0,FALSE,5,5,1,40,1,7,0,1,19,15,1,TRUE,sparse grouped folds,FALSE,outer_test_n_below_10;single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,aneuploidy,aneuploidy,SARC,Genome doubling,Taylor2018_TableS2,238,112,126,3,all three,3,3,3,3,TRUE,TRUE,-0.0423044217687075,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",16,33,5,5,19,123,115,6,25,10,9,55,60,0,FALSE,5,5,8,48,4,19,4,4,26,22,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,aneuploidy,aneuploidy,SKCM,Genome doubling,Taylor2018_TableS2,98,35,63,2,exactly two,3,2,1,1,FALSE,TRUE,-0.0195011337868481,FALSE,partial retention,R4: limited or cohort-structure-sensitive internal evidence,17,15,5,5,2,65,33,2,11,0,2,10,23,1,TRUE,5,5,1,21,1,8,0,1,5,16,7,TRUE,sparse grouped folds,FALSE,outer_test_n_below_10;single_class_outer_test_fold;outer_training_minority_below_20;single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,aneuploidy,aneuploidy,STAD,Genome doubling,Taylor2018_TableS2,354,152,202,3,all three,3,3,3,3,TRUE,TRUE,-0.0709679520583637,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",18,22,5,5,7,135,219,3,17,3,4,96,123,0,FALSE,5,5,8,126,3,12,2,5,55,71,0,FALSE,sparse grouped folds,FALSE,outer_test_n_below_10,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,aneuploidy,aneuploidy,UCEC,Genome doubling,Taylor2018_TableS2,476,97,379,3,all three,3,3,3,3,TRUE,TRUE,-0.022169028642929,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",19,28,5,5,59,162,314,5,21,9,47,51,263,0,FALSE,5,5,7,193,4,16,1,6,32,161,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ATM,TCGA_MC3_Bailey2018,384,53,331,1,representation specific,3,1,0,0,FALSE,FALSE,-0.0502194607535769,TRUE,no retention,R4: limited or cohort-structure-sensitive internal evidence,20,33,5,5,48,110,274,5,26,2,44,33,241,0,FALSE,5,5,15,162,4,20,1,14,14,148,0,FALSE,sparse grouped folds,FALSE,inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,CDKN2A,TCGA_MC3_Bailey2018,384,24,360,1,representation specific,3,1,0,0,FALSE,FALSE,-0.060763888888889,FALSE,no retention,R4: limited or cohort-structure-sensitive internal evidence,21,33,5,5,66,101,283,6,25,3,63,16,262,0,FALSE,5,5,24,182,4,19,0,23,7,175,1,TRUE,sparse grouped folds,FALSE,outer_training_minority_below_20;single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ERBB2,TCGA_MC3_Bailey2018,384,46,338,1,representation specific,3,1,0,0,FALSE,FALSE,-0.114612811937227,FALSE,no retention,R4: limited or cohort-structure-sensitive internal evidence,22,33,5,5,46,129,255,6,25,6,40,30,217,0,FALSE,5,5,10,174,4,19,1,9,18,150,0,FALSE,sparse grouped folds,FALSE,inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ERCC2,TCGA_MC3_Bailey2018,384,35,349,1,representation specific,3,1,0,0,FALSE,FALSE,-0.0200573065902578,FALSE,no retention,R4: limited or cohort-structure-sensitive internal evidence,23,33,5,5,37,111,273,6,26,2,35,23,248,0,FALSE,5,5,17,173,4,20,0,15,12,161,1,TRUE,sparse grouped folds,FALSE,single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,FGFR3,TCGA_MC3_Bailey2018,384,54,330,3,all three,3,3,3,3,TRUE,TRUE,0.00123456790123455,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",24,33,5,5,50,94,290,5,26,3,47,34,253,0,FALSE,5,5,9,163,4,20,0,9,21,137,1,TRUE,sparse grouped folds,FALSE,single_class_inner_validation_fold,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,NFE2L2,TCGA_MC3_Bailey2018,384,24,360,1,representation specific,3,1,1,1,TRUE,TRUE,-0.0520833333333334,FALSE,complete retention,R4: limited or cohort-structure-sensitive internal evidence,25,33,5,5,39,125,259,6,26,1,38,18,241,0,FALSE,5,5,23,162,4,20,1,21,11,151,0,FALSE,sparse grouped folds,FALSE,outer_training_minority_below_20;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,PIK3CA,TCGA_MC3_Bailey2018,384,82,302,1,representation specific,3,1,1,1,TRUE,TRUE,-0.0205136488450978,TRUE,complete retention,R3: mature with partial or single-representation retention,26,33,5,5,24,140,244,6,25,5,19,51,193,0,FALSE,5,5,15,161,4,19,1,14,37,124,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,RB1,TCGA_MC3_Bailey2018,384,73,311,3,all three,3,3,1,1,FALSE,TRUE,-0.0519755098445139,TRUE,partial retention,R3: mature with partial or single-representation retention,27,33,5,5,15,121,263,6,26,3,12,43,220,0,FALSE,5,5,15,152,4,20,1,13,18,134,0,FALSE,sparse grouped folds,FALSE,inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,STAG2,TCGA_MC3_Bailey2018,384,53,331,2,exactly two,3,2,1,1,FALSE,TRUE,-0.0481673602006498,TRUE,partial retention,R3: mature with partial or single-representation retention,28,33,5,5,47,144,240,6,26,7,40,37,203,0,FALSE,5,5,20,139,4,20,0,20,24,115,1,TRUE,sparse grouped folds,FALSE,single_class_inner_validation_fold,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,TP53,TCGA_MC3_Bailey2018,384,185,199,3,all three,3,3,2,2,FALSE,TRUE,-0.020263479559962,TRUE,partial retention,R3: mature with partial or single-representation retention,29,33,5,5,42,102,282,6,26,18,24,138,144,0,FALSE,5,5,19,185,5,20,9,10,95,86,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,CESC,EP300,TCGA_MC3_Bailey2018,251,30,221,2,exactly two,3,2,1,2,FALSE,TRUE,0.0235294117647059,FALSE,partial retention,R4: limited or cohort-structure-sensitive internal evidence,30,28,5,5,19,138,113,4,22,1,16,13,100,0,FALSE,5,5,9,67,3,17,0,8,5,62,3,TRUE,sparse grouped folds,FALSE,outer_training_minority_below_20;single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,driver_mutation,Bailey_tissue_specific_driver,CESC,KMT2D,TCGA_MC3_Bailey2018,251,38,213,1,representation specific,3,1,0,0,FALSE,FALSE,-0.0453422288114652,FALSE,no retention,R4: limited or cohort-structure-sensitive internal evidence,31,28,5,5,15,126,125,5,22,3,12,21,104,0,FALSE,5,5,9,72,4,17,0,7,9,63,1,TRUE,sparse grouped folds,FALSE,single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,driver_mutation,Bailey_tissue_specific_driver,CESC,TP53,TCGA_MC3_Bailey2018,251,21,230,1,representation specific,3,1,1,2,TRUE,TRUE,0.0086956521739131,FALSE,complete retention,R4: limited or cohort-structure-sensitive internal evidence,32,28,5,5,21,75,176,5,21,0,18,12,160,1,TRUE,5,5,7,83,4,16,0,7,5,75,3,TRUE,sparse grouped folds,FALSE,single_class_outer_test_fold;outer_training_minority_below_20;single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,ACVR2A,TCGA_MC3_Bailey2018,382,21,361,3,all three,3,3,1,1,FALSE,TRUE,-0.061865189289012,FALSE,partial retention,R4: limited or cohort-structure-sensitive internal evidence,33,24,5,5,37,157,225,4,18,1,36,13,212,0,FALSE,5,5,10,121,3,14,0,9,9,112,1,TRUE,sparse grouped folds,FALSE,outer_training_minority_below_20;single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,AMER1,TCGA_MC3_Bailey2018,382,37,345,2,exactly two,3,2,1,2,FALSE,TRUE,0.00297688993341172,FALSE,partial retention,R4: limited or cohort-structure-sensitive internal evidence,34,24,5,5,12,161,221,4,18,2,10,20,196,0,FALSE,5,5,12,103,3,13,1,11,14,89,0,FALSE,sparse grouped folds,FALSE,inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,APC,TCGA_MC3_Bailey2018,382,196,186,3,all three,3,3,2,2,FALSE,TRUE,-0.109995611147685,TRUE,partial retention,R3: mature with partial or single-representation retention,35,24,5,5,45,133,249,4,18,17,13,134,70,0,FALSE,5,5,6,138,3,14,5,1,86,33,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,ARID1A,TCGA_MC3_Bailey2018,382,34,348,2,exactly two,3,2,1,1,FALSE,TRUE,-0.00118323191345504,FALSE,partial retention,R4: limited or cohort-structure-sensitive internal evidence,36,24,5,5,19,130,252,4,18,2,17,21,224,0,FALSE,5,5,3,155,3,13,0,3,15,139,2,TRUE,sparse grouped folds,FALSE,single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
