outcome_type,family,tumor_type,endpoint,n,positive,negative,representations_retained,n_representations_retained,consensus_class,effect_TITAN,effect_GigaSSL,effect_ProvGigaPath,priority_score,TITAN_tss_random_metric,TITAN_tss_grouped_metric,TITAN_tss_status,TITAN_tss_near_chance_or_worse,matched_grouped_metric_TITAN,matched_grouped_metric_GigaSSL,matched_grouped_metric_ProvGigaPath,matched_grouped_retained_TITAN,matched_grouped_retained_GigaSSL,matched_grouped_retained_ProvGigaPath,sample_size_maturity,matched_tss_retention_class,internal_robustness_class,interpretation
binary,aneuploidy,LUAD,Genome doubling,449,264,185,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.708701883701884,0.639004914004914,0.701576576576577,0.639004914004914,0.653675266175266,0.678255528255528,retained under TSS grouping,False,0.649846437346437,0.551597051597052,0.625266175266175,True,True,True,True,complete retention,"R1: all-three, mature, complete grouped retention","R1: all-three, mature, complete grouped retention; internal TCGA prioritisation only; external validation required"
binary,aneuploidy,LUSC,Genome doubling,458,248,210,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.682507680491551,0.63097158218126,0.619546850998464,0.619546850998464,0.612191623637407,0.620596672403901,retained under TSS grouping,False,0.631739631336406,0.632315668202765,0.587403993855607,True,True,True,True,complete retention,"R1: all-three, mature, complete grouped retention","R1: all-three, mature, complete grouped retention; internal TCGA prioritisation only; external validation required"
binary,aneuploidy,OV,Genome doubling,94,65,29,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.80106100795756,0.639257294429708,0.629177718832891,0.629177718832891,0.677272727272727,0.725757575757576,retained under TSS grouping,False,0.707957559681698,0.56604774535809,0.580901856763926,True,False,True,False,partial retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required
binary,aneuploidy,PAAD,Genome doubling,163,40,123,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.636178861788618,0.670121951219512,0.626829268292683,0.626829268292683,,,not evaluated in TITAN candidate TSS analysis,False,0.53140243902439,0.614532520325203,0.516361788617886,True,True,False,False,partial retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required
binary,aneuploidy,PCPG,Genome doubling,157,24,133,TITAN,1,unique to TITAN,0.617481203007519,0.530388471177945,0.587406015037594,0.617481203007519,0.604793233082707,0.570332080200501,fell below threshold under TSS grouping,False,0.601190476190476,0.600877192982456,0.585839598997494,False,False,False,False,no retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required
binary,aneuploidy,PRAD,Genome doubling,352,28,324,TITAN+GigaSSL,2,retained by two,0.609457671957672,0.62907848324515,0.562830687830688,0.609457671957672,,,not evaluated in TITAN candidate TSS analysis,False,0.693562610229277,0.57010582010582,0.58179012345679,True,False,False,False,partial retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required
binary,aneuploidy,READ,Genome doubling,142,72,70,GigaSSL+ProvGigaPath,2,retained by two,0.582936507936508,0.70218253968254,0.626190476190476,0.626190476190476,,,not evaluated in TITAN candidate TSS analysis,False,0.586111111111111,0.491865079365079,0.525396825396825,False,False,False,True,no retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required
binary,aneuploidy,SARC,Genome doubling,238,112,126,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.719033446712018,0.727820294784581,0.611961451247166,0.611961451247166,0.628968253968254,0.638392857142857,retained under TSS grouping,False,0.608134920634921,0.674603174603175,0.602678571428571,True,True,True,True,complete retention,"R1: all-three, mature, complete grouped retention","R1: all-three, mature, complete grouped retention; internal TCGA prioritisation only; external validation required"
binary,aneuploidy,SKCM,Genome doubling,98,35,63,TITAN+ProvGigaPath,2,retained by two,0.653968253968254,0.568253968253968,0.645351473922903,0.645351473922903,,,not evaluated in TITAN candidate TSS analysis,False,0.5,0.522222222222222,0.482539682539683,False,False,True,False,partial retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required
binary,aneuploidy,STAD,Genome doubling,354,152,202,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.782406201146431,0.742509119332986,0.782927305888484,0.742509119332986,0.684623628798386,0.661202874795108,retained under TSS grouping,False,0.662975508077123,0.622687597707139,0.652357998957791,True,True,True,True,complete retention,"R1: all-three, mature, complete grouped retention","R1: all-three, mature, complete grouped retention; internal TCGA prioritisation only; external validation required"
binary,aneuploidy,UCEC,Genome doubling,476,97,379,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.856594946005495,0.761227320947692,0.714413948807225,0.714413948807225,0.714202387411829,0.701153011394466,retained under TSS grouping,False,0.808149498136713,0.6749313168131,0.64029050947964,True,True,True,True,complete retention,"R1: all-three, mature, complete grouped retention","R1: all-three, mature, complete grouped retention; internal TCGA prioritisation only; external validation required"
binary,driver_mutation,BLCA,ARID1A,384,98,286,None,0,no effect-threshold crossing,0.553660625089197,0.554516911659769,0.534215784215784,0.554516911659769,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,ASXL2,384,35,349,None,0,no effect-threshold crossing,0.524355300859599,0.48857961522718,0.46516577977896,0.524355300859599,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,ATM,384,53,331,TITAN,1,unique to TITAN,0.622698512227099,0.589921906173403,0.586672746964601,0.622698512227099,,,not evaluated in TITAN candidate TSS analysis,False,0.554181154876589,0.52927093427578,0.533774154933592,False,False,False,True,no retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,CDKN1A,384,37,347,None,0,no effect-threshold crossing,0.546148453929434,0.482358439130773,0.505335306488044,0.546148453929434,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,CDKN2A,384,24,360,TITAN,1,unique to TITAN,0.615393518518519,0.547800925925926,0.458912037037037,0.615393518518519,,,not evaluated in TITAN candidate TSS analysis,False,0.568055555555556,0.4875,0.469444444444445,False,False,False,False,no retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,CREBBP,384,48,336,None,0,no effect-threshold crossing,0.523871527777778,0.561197916666667,0.561693948412698,0.561693948412698,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,ELF3,384,46,338,None,0,no effect-threshold crossing,0.507332132750193,0.48559300231541,0.52193208129663,0.52193208129663,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,EP300,384,54,330,None,0,no effect-threshold crossing,0.531874298540965,0.521661054994388,0.482996632996633,0.531874298540965,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,ERBB2,384,46,338,ProvGigaPath,1,unique to ProvGigaPath,0.520967326987394,0.517043992796501,0.656676099819913,0.656676099819913,,,not evaluated in TITAN candidate TSS analysis,False,0.478518137381014,0.447131463853872,0.531322356573193,False,False,False,False,no retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,ERBB3,384,40,344,None,0,no effect-threshold crossing,0.52718023255814,0.562572674418605,0.518822674418605,0.562572674418605,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,ERCC2,384,35,349,TITAN,1,unique to TITAN,0.615063446582071,0.537617683176423,0.590503479328694,0.615063446582071,,,not evaluated in TITAN candidate TSS analysis,False,0.585141219811707,0.517928776094965,0.562013917314777,False,False,False,False,no retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,FAT1,384,46,338,None,0,no effect-threshold crossing,0.54997427321842,0.557756624646257,0.562130177514793,0.562130177514793,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,FBXW7,384,30,354,None,0,no effect-threshold crossing,0.572598870056497,0.564030131826742,0.550941619585688,0.572598870056497,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,FGFR3,384,54,330,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.810886644219978,0.819921436588103,0.764478114478114,0.764478114478114,0.686026936026936,0.69040404040404,retained under TSS grouping,False,0.713636363636364,0.739225589225589,0.708585858585859,True,True,True,True,complete retention,"R1: all-three, mature, complete grouped retention","R1: all-three, mature, complete grouped retention; internal TCGA prioritisation only; external validation required"
binary,driver_mutation,BLCA,KANSL1,384,24,360,None,0,no effect-threshold crossing,0.589351851851852,0.481134259259259,0.493402777777778,0.589351851851852,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,KDM6A,384,96,288,None,0,no effect-threshold crossing,0.530056423611111,0.515118634259259,0.522858796296296,0.530056423611111,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,KLF5,384,21,363,None,0,no effect-threshold crossing,0.373737373737374,0.453233635051817,0.489833398924308,0.489833398924308,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,KMT2C,384,71,313,None,0,no effect-threshold crossing,0.499887503937362,0.501507447239347,0.428654997075102,0.501507447239347,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,KMT2D,384,110,274,None,0,no effect-threshold crossing,0.536131386861314,0.454346383543464,0.531021897810219,0.536131386861314,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,NFE2L2,384,24,360,TITAN,1,unique to TITAN,0.637962962962963,0.561805555555556,0.56400462962963,0.637962962962963,,,not evaluated in TITAN candidate TSS analysis,False,0.6125,0.563888888888889,0.486111111111111,True,False,False,False,complete retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,PIK3CA,384,82,302,TITAN,1,unique to TITAN,0.614844128573736,0.533476013568083,0.587586819576805,0.614844128573736,,,not evaluated in TITAN candidate TSS analysis,False,0.589727023098046,0.607938943627847,0.548013245033113,True,False,False,True,complete retention,R3: mature with partial or single-representation retention,R3: mature with partial or single-representation retention; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,RB1,384,73,311,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.672818570233009,0.648856979253843,0.607452759547196,0.607452759547196,,,not evaluated in TITAN candidate TSS analysis,False,0.631788750385412,0.548870193366516,0.51065938422235,True,False,False,True,partial retention,R3: mature with partial or single-representation retention,R3: mature with partial or single-representation retention; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,RHOB,384,24,360,None,0,no effect-threshold crossing,0.556018518518519,0.569791666666667,0.503125,0.569791666666667,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,RXRA,384,21,363,None,0,no effect-threshold crossing,0.422668240850059,0.561196379378198,0.518824609733701,0.561196379378198,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,SF3B1,384,22,362,None,0,no effect-threshold crossing,0.447262682069312,0.531140130587644,0.596308387744852,0.596308387744852,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,SPTAN1,384,45,339,None,0,no effect-threshold crossing,0.515568666011144,0.535299901671583,0.589577187807276,0.589577187807276,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,STAG2,384,53,331,GigaSSL+ProvGigaPath,2,retained by two,0.481844610385909,0.636721199338768,0.640540386478938,0.636721199338768,,,not evaluated in TITAN candidate TSS analysis,False,0.515675768112638,0.63503961694123,0.559881434190275,False,True,False,True,partial retention,R3: mature with partial or single-representation retention,R3: mature with partial or single-representation retention; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,TP53,384,185,199,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.704223821811762,0.622436506858617,0.688034768436778,0.622436506858617,0.629526008420481,0.603408936574766,retained under TSS grouping,False,0.677101724840418,0.586119788129838,0.599864185793834,True,False,True,True,partial retention,R3: mature with partial or single-representation retention,R3: mature with partial or single-representation retention; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,TSC1,384,34,350,None,0,no effect-threshold crossing,0.515378151260504,0.530672268907563,0.53,0.530672268907563,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
binary,driver_mutation,BLCA,ZFP36L1,384,25,359,None,0,no effect-threshold crossing,0.526573816155989,0.580724233983287,0.505403899721449,0.580724233983287,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
binary,driver_mutation,CESC,EP300,251,30,221,TITAN+GigaSSL,2,retained by two,0.649321266968326,0.624132730015083,0.563046757164404,0.624132730015083,,,not evaluated in TITAN candidate TSS analysis,False,0.600980392156863,0.596003016591252,0.586953242835596,True,False,False,False,partial retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required
binary,driver_mutation,CESC,FBXW7,251,29,222,None,0,no effect-threshold crossing,0.455576265921094,0.531531531531532,0.461789375582479,0.531531531531532,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
binary,driver_mutation,CESC,KMT2C,251,47,204,None,0,no effect-threshold crossing,0.583541927409262,0.447017104714226,0.462765957446809,0.583541927409262,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
binary,driver_mutation,CESC,KMT2D,251,38,213,TITAN,1,unique to TITAN,0.643068939955523,0.333086236718557,0.471583889300717,0.643068939955523,,,not evaluated in TITAN candidate TSS analysis,False,0.544415616506054,0.467012601927354,0.554237706943415,False,False,False,False,no retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required
binary,driver_mutation,CESC,PIK3CA,251,70,181,None,0,no effect-threshold crossing,0.537647987371744,0.580426203630624,0.536779794790845,0.580426203630624,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
binary,driver_mutation,CESC,TP53,251,21,230,TITAN,1,unique to TITAN,0.714492753623189,0.566666666666667,0.527743271221532,0.714492753623189,0.632034632034632,0.551948051948052,fell below threshold under TSS grouping,False,0.551242236024845,0.561697722567288,0.61128364389234,True,False,False,False,complete retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required
binary,driver_mutation,COAD,ACVR2A,382,21,361,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.605197203535154,0.730510486743174,0.653607703469199,0.605197203535154,,,not evaluated in TITAN candidate TSS analysis,False,0.489908982983775,0.626104735523018,0.652420524996702,False,True,False,False,partial retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required
binary,driver_mutation,COAD,AMER1,382,37,345,TITAN+ProvGigaPath,2,retained by two,0.632197414806111,0.599686643164904,0.660869565217391,0.632197414806111,,,not evaluated in TITAN candidate TSS analysis,False,0.494320407363886,0.578378378378378,0.618997258127693,False,False,True,False,partial retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required
binary,driver_mutation,COAD,APC,382,196,186,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.852918586789555,0.794574281325433,0.841644722405091,0.794574281325433,0.776936581084047,0.518872064955014,fell below threshold under TSS grouping,False,0.721829054202326,0.5933454026772,0.638989466754444,True,False,True,True,partial retention,R3: mature with partial or single-representation retention,R3: mature with partial or single-representation retention; internal TCGA prioritisation only; external validation required
binary,driver_mutation,COAD,ARID1A,382,34,348,TITAN+ProvGigaPath,2,retained by two,0.716615956727519,0.578177822853279,0.603870858688303,0.603870858688303,,,not evaluated in TITAN candidate TSS analysis,False,0.586037863421231,0.58079783637593,0.622295469912103,True,False,False,False,partial retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required
binary,driver_mutation,COAD,BRAF,382,44,338,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.837816030123723,0.740048413125336,0.746839698762776,0.740048413125336,,,not evaluated in TITAN candidate TSS analysis,False,0.651694459386767,0.588353953738569,0.548883808499193,True,False,True,False,partial retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required
binary,driver_mutation,COAD,CTNNB1,382,21,361,TITAN+GigaSSL,2,retained by two,0.740139823242316,0.702018203403245,0.542144835773645,0.702018203403245,,,not evaluated in TITAN candidate TSS analysis,False,0.418150639757288,0.649650441894209,0.498087323572088,False,True,False,False,partial retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required
binary,driver_mutation,COAD,FBXW7,382,43,339,TITAN+GigaSSL,2,retained by two,0.644096864924196,0.617822597242231,0.536941757563285,0.617822597242231,,,not evaluated in TITAN candidate TSS analysis,False,0.484015915483296,0.528949715304932,0.564793853330589,False,False,False,False,no retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required
binary,driver_mutation,COAD,KRAS,382,126,256,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.770337301587302,0.693142361111111,0.740358382936508,0.693142361111111,0.676277281746032,0.637524801587302,retained under TSS grouping,False,0.693762400793651,0.353980654761905,0.351965525793651,True,False,False,True,partial retention,R3: mature with partial or single-representation retention,R3: mature with partial or single-representation retention; internal TCGA prioritisation only; external validation required
binary,driver_mutation,COAD,PIK3CA,382,83,299,GigaSSL+ProvGigaPath,2,retained by two,0.571664584760447,0.698069871459081,0.607325623564492,0.607325623564492,,,not evaluated in TITAN candidate TSS analysis,False,0.444654873675303,0.431276947253899,0.508240319136076,False,False,False,True,no retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required
binary,driver_mutation,COAD,SMAD4,382,36,346,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.682321772639692,0.695809248554913,0.70640655105973,0.682321772639692,,,not evaluated in TITAN candidate TSS analysis,False,0.592084136159281,0.661127167630058,0.553227360308285,False,False,False,False,no retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required
binary,driver_mutation,COAD,SOX9,382,42,340,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.676960784313726,0.640686274509804,0.602801120448179,0.602801120448179,,,not evaluated in TITAN candidate TSS analysis,False,0.666386554621849,0.501120448179272,0.577801120448179,True,False,False,False,partial retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required
binary,driver_mutation,COAD,TCF7L2,382,32,350,None,0,no effect-threshold crossing,0.599464285714286,0.528125,0.53625,0.599464285714286,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
binary,driver_mutation,COAD,TP53,382,161,221,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.866024001573874,0.786149911469605,0.787049267867682,0.786149911469605,0.767446108878334,0.614443101655378,retained under TSS grouping,False,0.60981984767151,0.640482279868469,0.587518619487929,True,False,False,True,partial retention,R3: mature with partial or single-representation retention,R3: mature with partial or single-representation retention; internal TCGA prioritisation only; external validation required
binary,driver_mutation,GBM,EGFR,240,40,200,None,0,no effect-threshold crossing,0.58225,0.598625,0.5885,0.598625,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
